"","state","date","confirmed"
"505","Ohio",0020-01-30,0
"506","Oklahoma",0020-01-30,0
"507","Oregon",0020-01-30,0
"508","Pennsylvania",0020-01-30,0
"509","Puerto Rico",0020-01-30,0
"510","Rhode Island",0020-01-30,0
"511","South Carolina",0020-01-30,0
"512","South Dakota",0020-01-30,0
"513","Tennessee",0020-01-30,0
"514","Texas",0020-01-30,0
"515","Utah",0020-01-30,0
"516","Vermont",0020-01-30,0
"517","Virgin Islands",0020-01-30,0
"518","Virginia",0020-01-30,0
"519","Washington",0020-01-30,1
"520","West Virginia",0020-01-30,0
"521","Wisconsin",0020-01-30,0
"522","Wyoming",0020-01-30,0
"523","Alabama",0020-01-31,0
"524","Alaska",0020-01-31,0
"525","American Samoa",0020-01-31,0
"526","Arizona",0020-01-31,1
"527","Arkansas",0020-01-31,0
"528","California",0020-01-31,3
"529","Colorado",0020-01-31,0
"530","Connecticut",0020-01-31,0
"531","Delaware",0020-01-31,0
"532","Diamond Princess",0020-01-31,0
"533","District of Columbia",0020-01-31,0
"534","Florida",0020-01-31,0
"535","Georgia",0020-01-31,0
"536","Grand Princess",0020-01-31,0
"537","Guam",0020-01-31,0
"538","Hawaii",0020-01-31,0
"539","Idaho",0020-01-31,0
"540","Illinois",0020-01-31,2
"541","Indiana",0020-01-31,0
"542","Iowa",0020-01-31,0
"543","Kansas",0020-01-31,0
"544","Kentucky",0020-01-31,0
"545","Louisiana",0020-01-31,0
"546","Maine",0020-01-31,0
"547","Maryland",0020-01-31,0
"548","Massachusetts",0020-01-31,0
"549","Michigan",0020-01-31,0
"550","Minnesota",0020-01-31,0
"551","Mississippi",0020-01-31,0
"552","Missouri",0020-01-31,0
"553","Montana",0020-01-31,0
"554","Nebraska",0020-01-31,0
"555","Nevada",0020-01-31,0
"556","New Hampshire",0020-01-31,0
"557","New Jersey",0020-01-31,0
"558","New Mexico",0020-01-31,0
"559","New York",0020-01-31,0
"560","North Carolina",0020-01-31,0
"561","North Dakota",0020-01-31,0
"562","Northern Mariana Islands",0020-01-31,0
"563","Ohio",0020-01-31,0
"564","Oklahoma",0020-01-31,0
"565","Oregon",0020-01-31,0
"566","Pennsylvania",0020-01-31,0
"567","Puerto Rico",0020-01-31,0
"568","Rhode Island",0020-01-31,0
"569","South Carolina",0020-01-31,0
"570","South Dakota",0020-01-31,0
"571","Tennessee",0020-01-31,0
"572","Texas",0020-01-31,0
"573","Utah",0020-01-31,0
"574","Vermont",0020-01-31,0
"575","Virgin Islands",0020-01-31,0
"576","Virginia",0020-01-31,0
"577","Washington",0020-01-31,1
"578","West Virginia",0020-01-31,0
"579","Wisconsin",0020-01-31,0
"580","Wyoming",0020-01-31,0
"581","Alabama",0020-02-01,0
"582","Alaska",0020-02-01,0
"583","American Samoa",0020-02-01,0
"584","Arizona",0020-02-01,1
"585","Arkansas",0020-02-01,0
"586","California",0020-02-01,3
"587","Colorado",0020-02-01,0
"588","Connecticut",0020-02-01,0
"589","Delaware",0020-02-01,0
"590","Diamond Princess",0020-02-01,0
"591","District of Columbia",0020-02-01,0
"592","Florida",0020-02-01,0
"593","Georgia",0020-02-01,0
"594","Grand Princess",0020-02-01,0
"595","Guam",0020-02-01,0
"596","Hawaii",0020-02-01,0
"597","Idaho",0020-02-01,0
"598","Illinois",0020-02-01,2
"599","Indiana",0020-02-01,0
"600","Iowa",0020-02-01,0
"601","Kansas",0020-02-01,0
"602","Kentucky",0020-02-01,0
"603","Louisiana",0020-02-01,0
"604","Maine",0020-02-01,0
"605","Maryland",0020-02-01,0
"606","Massachusetts",0020-02-01,1
"607","Michigan",0020-02-01,0
"608","Minnesota",0020-02-01,0
"609","Mississippi",0020-02-01,0
"610","Missouri",0020-02-01,0
"611","Montana",0020-02-01,0
"612","Nebraska",0020-02-01,0
"613","Nevada",0020-02-01,0
"614","New Hampshire",0020-02-01,0
"615","New Jersey",0020-02-01,0
"616","New Mexico",0020-02-01,0
"617","New York",0020-02-01,0
"618","North Carolina",0020-02-01,0
"619","North Dakota",0020-02-01,0
"620","Northern Mariana Islands",0020-02-01,0
"621","Ohio",0020-02-01,0
"622","Oklahoma",0020-02-01,0
"623","Oregon",0020-02-01,0
"624","Pennsylvania",0020-02-01,0
"625","Puerto Rico",0020-02-01,0
"626","Rhode Island",0020-02-01,0
"627","South Carolina",0020-02-01,0
"628","South Dakota",0020-02-01,0
"629","Tennessee",0020-02-01,0
"630","Texas",0020-02-01,0
"631","Utah",0020-02-01,0
"632","Vermont",0020-02-01,0
"633","Virgin Islands",0020-02-01,0
"634","Virginia",0020-02-01,0
"635","Washington",0020-02-01,1
"636","West Virginia",0020-02-01,0
"637","Wisconsin",0020-02-01,0
"638","Wyoming",0020-02-01,0
"639","Alabama",0020-02-02,0
"640","Alaska",0020-02-02,0
"641","American Samoa",0020-02-02,0
"642","Arizona",0020-02-02,1
"643","Arkansas",0020-02-02,0
"644","California",0020-02-02,3
"645","Colorado",0020-02-02,0
"646","Connecticut",0020-02-02,0
"647","Delaware",0020-02-02,0
"648","Diamond Princess",0020-02-02,0
"649","District of Columbia",0020-02-02,0
"650","Florida",0020-02-02,0
"651","Georgia",0020-02-02,0
"652","Grand Princess",0020-02-02,0
"653","Guam",0020-02-02,0
"654","Hawaii",0020-02-02,0
"655","Idaho",0020-02-02,0
"656","Illinois",0020-02-02,2
"657","Indiana",0020-02-02,0
"658","Iowa",0020-02-02,0
"659","Kansas",0020-02-02,0
"660","Kentucky",0020-02-02,0
"661","Louisiana",0020-02-02,0
"662","Maine",0020-02-02,0
"663","Maryland",0020-02-02,0
"664","Massachusetts",0020-02-02,1
"665","Michigan",0020-02-02,0
"666","Minnesota",0020-02-02,0
"667","Mississippi",0020-02-02,0
"668","Missouri",0020-02-02,0
"669","Montana",0020-02-02,0
"670","Nebraska",0020-02-02,0
"671","Nevada",0020-02-02,0
"672","New Hampshire",0020-02-02,0
"673","New Jersey",0020-02-02,0
"674","New Mexico",0020-02-02,0
"675","New York",0020-02-02,0
"676","North Carolina",0020-02-02,0
"677","North Dakota",0020-02-02,0
"678","Northern Mariana Islands",0020-02-02,0
"679","Ohio",0020-02-02,0
"680","Oklahoma",0020-02-02,0
"681","Oregon",0020-02-02,0
"682","Pennsylvania",0020-02-02,0
"683","Puerto Rico",0020-02-02,0
"684","Rhode Island",0020-02-02,0
"685","South Carolina",0020-02-02,0
"686","South Dakota",0020-02-02,0
"687","Tennessee",0020-02-02,0
"688","Texas",0020-02-02,0
"689","Utah",0020-02-02,0
"690","Vermont",0020-02-02,0
"691","Virgin Islands",0020-02-02,0
"692","Virginia",0020-02-02,0
"693","Washington",0020-02-02,1
"694","West Virginia",0020-02-02,0
"695","Wisconsin",0020-02-02,0
"696","Wyoming",0020-02-02,0
"697","Alabama",0020-02-03,0
"698","Alaska",0020-02-03,0
"699","American Samoa",0020-02-03,0
"700","Arizona",0020-02-03,1
"701","Arkansas",0020-02-03,0
"702","California",0020-02-03,6
"703","Colorado",0020-02-03,0
"704","Connecticut",0020-02-03,0
"705","Delaware",0020-02-03,0
"706","Diamond Princess",0020-02-03,0
"707","District of Columbia",0020-02-03,0
"708","Florida",0020-02-03,0
"709","Georgia",0020-02-03,0
"710","Grand Princess",0020-02-03,0
"711","Guam",0020-02-03,0
"712","Hawaii",0020-02-03,0
"713","Idaho",0020-02-03,0
"714","Illinois",0020-02-03,2
"715","Indiana",0020-02-03,0
"716","Iowa",0020-02-03,0
"717","Kansas",0020-02-03,0
"718","Kentucky",0020-02-03,0
"719","Louisiana",0020-02-03,0
"720","Maine",0020-02-03,0
"721","Maryland",0020-02-03,0
"722","Massachusetts",0020-02-03,1
"723","Michigan",0020-02-03,0
"724","Minnesota",0020-02-03,0
"725","Mississippi",0020-02-03,0
"726","Missouri",0020-02-03,0
"727","Montana",0020-02-03,0
"728","Nebraska",0020-02-03,0
"729","Nevada",0020-02-03,0
"730","New Hampshire",0020-02-03,0
"731","New Jersey",0020-02-03,0
"732","New Mexico",0020-02-03,0
"733","New York",0020-02-03,0
"734","North Carolina",0020-02-03,0
"735","North Dakota",0020-02-03,0
"736","Northern Mariana Islands",0020-02-03,0
"737","Ohio",0020-02-03,0
"738","Oklahoma",0020-02-03,0
"739","Oregon",0020-02-03,0
"740","Pennsylvania",0020-02-03,0
"741","Puerto Rico",0020-02-03,0
"742","Rhode Island",0020-02-03,0
"743","South Carolina",0020-02-03,0
"744","South Dakota",0020-02-03,0
"745","Tennessee",0020-02-03,0
"746","Texas",0020-02-03,0
"747","Utah",0020-02-03,0
"748","Vermont",0020-02-03,0
"749","Virgin Islands",0020-02-03,0
"750","Virginia",0020-02-03,0
"751","Washington",0020-02-03,1
"752","West Virginia",0020-02-03,0
"753","Wisconsin",0020-02-03,0
"754","Wyoming",0020-02-03,0
"755","Alabama",0020-02-04,0
"756","Alaska",0020-02-04,0
"757","American Samoa",0020-02-04,0
"758","Arizona",0020-02-04,1
"759","Arkansas",0020-02-04,0
"760","California",0020-02-04,6
"761","Colorado",0020-02-04,0
"762","Connecticut",0020-02-04,0
"763","Delaware",0020-02-04,0
"764","Diamond Princess",0020-02-04,0
"765","District of Columbia",0020-02-04,0
"766","Florida",0020-02-04,0
"767","Georgia",0020-02-04,0
"768","Grand Princess",0020-02-04,0
"769","Guam",0020-02-04,0
"770","Hawaii",0020-02-04,0
"771","Idaho",0020-02-04,0
"772","Illinois",0020-02-04,2
"773","Indiana",0020-02-04,0
"774","Iowa",0020-02-04,0
"775","Kansas",0020-02-04,0
"776","Kentucky",0020-02-04,0
"777","Louisiana",0020-02-04,0
"778","Maine",0020-02-04,0
"779","Maryland",0020-02-04,0
"780","Massachusetts",0020-02-04,1
"781","Michigan",0020-02-04,0
"782","Minnesota",0020-02-04,0
"783","Mississippi",0020-02-04,0
"784","Missouri",0020-02-04,0
"785","Montana",0020-02-04,0
"786","Nebraska",0020-02-04,0
"787","Nevada",0020-02-04,0
"788","New Hampshire",0020-02-04,0
"789","New Jersey",0020-02-04,0
"790","New Mexico",0020-02-04,0
