"","days","state","new"
"701",17,"Ohio",364
"702",17,"Oregon",140
"703",17,"Washington",363
"704",17,"West Virginia",31
"705",17,"Delaware",117
"706",17,"Michigan",930
"707",17,"New Mexico",216
"708",17,"Hawaii",23
"709",17,"Idaho",42
"710",17,"Indiana",528
"711",17,"Vermont",32
"712",17,"Wisconsin",145
"713",17,"Colorado",794
"714",17,"Minnesota",0
"715",17,"New Hampshire",56
"716",17,"Alaska",8
"717",17,"Montana",5
"718",17,"Rhode Island",586
"719",17,"District of Columbia",153
"720",17,"Kansas",111
"721",17,"Maryland",752
"722",17,"North Carolina",299
"723",17,"Virginia",389
"724",17,"Arizona",274
"725",17,"Nevada",102
"726",17,"Pennsylvania",1764
"727",17,"Maine",20
"728",17,"Tennessee",481
"729",17,"Texas",556
"730",17,"Florida",745
"731",17,"Georgia",1106
"732",17,"Mississippi",238
"733",17,"Alabama",238
"734",18,"California",985
"735",18,"Illinois",2807
"736",18,"New Jersey",3021
"737",18,"New York",10718
"738",18,"Connecticut",754
"739",18,"Louisiana",970
"740",18,"Ohio",366
"741",18,"Oregon",1
"742",18,"Washington",480
"743",18,"West Virginia",60
"744",18,"Delaware",153
"745",18,"Michigan",1171
"746",18,"New Mexico",10
"747",18,"Hawaii",34
"748",18,"Idaho",11
"749",18,"Indiana",493
"750",18,"Vermont",16
"751",18,"Wisconsin",128
"752",18,"Colorado",384
"753",18,"Minnesota",74
"754",18,"New Hampshire",0
"755",18,"Alaska",8
"756",18,"Montana",5
"757",18,"Rhode Island",0
"758",18,"District of Columbia",126
"759",18,"Kansas",115
"760",18,"Maryland",788
"761",18,"North Carolina",406
"762",18,"Virginia",602
"763",18,"Arizona",213
"764",18,"Nevada",102
"765",18,"Pennsylvania",1250
"766",18,"Maine",8
"767",18,"Tennessee",168
"768",18,"Texas",491
"769",18,"Florida",810
"770",18,"Georgia",474
"771",18,"Mississippi",204
"772",19,"California",1332
"773",19,"Illinois",1
"774",19,"New Jersey",3590
"775",19,"New York",10569
"776",19,"Connecticut",972
"777",19,"Louisiana",761
"778",19,"Ohio",372
"779",19,"Oregon",49
"780",19,"Washington",315
"781",19,"West Virginia",3
"782",19,"Delaware",146
"783",19,"Michigan",639
"784",19,"New Mexico",154
"785",19,"Hawaii",5
"786",19,"Idaho",19
"787",19,"Indiana",431
"788",19,"Vermont",21
"789",19,"Wisconsin",87
"790",19,"Colorado",259
"791",19,"Minnesota",114
"792",19,"New Hampshire",217
"793",19,"Alaska",7
"794",19,"Montana",11
"795",19,"Rhode Island",278
"796",19,"District of Columbia",190
"797",19,"Kansas",91
"798",19,"Maryland",754
"799",19,"North Carolina",283
"800",19,"Virginia",562
"801",19,"Arizona",209
"802",19,"Nevada",102
"803",19,"Pennsylvania",1012
"804",19,"Maine",13
"805",19,"Tennessee",156
"806",19,"Texas",823
"807",20,"California",1546
"808",20,"Illinois",2808
"809",20,"New Jersey",3561
"810",20,"New York",8678
"811",20,"Connecticut",525
"812",20,"Louisiana",581
"813",20,"Ohio",354
"814",20,"Oregon",156
"815",20,"Washington",175
"816",20,"West Virginia",16
"817",20,"Delaware",133
"818",20,"Michigan",1391
"819",20,"New Mexico",17
"820",20,"Hawaii",7
"821",20,"Idaho",38
"822",20,"Indiana",168
"823",20,"Vermont",4
"824",20,"Wisconsin",127
"825",20,"Colorado",6
"826",20,"Minnesota",0
"827",20,"New Hampshire",0
"828",20,"Alaska",9
"829",20,"Montana",7
"830",20,"Rhode Island",648
"831",20,"District of Columbia",127
"832",20,"Kansas",84
"833",20,"Maryland",521
"834",20,"North Carolina",273
"835",20,"Virginia",489
"836",20,"Arizona",135
"837",20,"Nevada",107
"838",20,"Pennsylvania",1335
"839",21,"California",813
"840",21,"Illinois",1293
"841",21,"New Jersey",3563
"842",21,"New York",8007
"843",21,"Connecticut",1346
"844",21,"Louisiana",421
"845",21,"Ohio",371
"846",21,"Oregon",57
"847",21,"Washington",26
"848",21,"West Virginia",18
"849",21,"Delaware",168
"850",21,"Michigan",1366
"851",21,"New Mexico",83
"852",21,"Hawaii",13
"853",21,"Idaho",9
"854",21,"Indiana",433
"855",21,"Vermont",7
"856",21,"Wisconsin",166
"857",21,"Colorado",330
"858",21,"Minnesota",261
"859",21,"New Hampshire",148
"860",21,"Alaska",5
"861",21,"Montana",4
"862",21,"Rhode Island",314
"863",21,"District of Columbia",134
"864",21,"Kansas",143
"865",21,"Maryland",837
"866",21,"North Carolina",294
"867",21,"Virginia",448
"868",21,"Arizona",188
"869",22,"California",1371
"870",22,"Illinois",1672
"871",22,"New Jersey",3699
"872",22,"New York",6716
"873",22,"Connecticut",608
"874",22,"Louisiana",502
"875",22,"Ohio",310
"876",22,"Oregon",49
"877",22,"Washington",164
"878",22,"West Virginia",29
"879",22,"Delaware",88
"880",22,"Michigan",1058
"881",22,"New Mexico",139
"882",22,"Hawaii",6
"883",22,"Idaho",114
"884",22,"Indiana",582
"885",22,"Vermont",15
"886",22,"Wisconsin",154
"887",22,"Colorado",405
"888",22,"Minnesota",139
"889",22,"New Hampshire",55
"890",22,"Alaska",5
"891",22,"Montana",7
"892",22,"Rhode Island",215
"893",22,"District of Columbia",171
"894",22,"Kansas",116
"895",22,"Maryland",509
"896",22,"North Carolina",239
"897",22,"Virginia",640
"898",23,"California",625
"899",23,"Illinois",1173
"900",23,"New Jersey",2734
"901",23,"New York",7271
"902",23,"Connecticut",766
"903",23,"Louisiana",433
"904",23,"Ohio",509
"905",23,"Oregon",30
"906",23,"Washington",143
"907",23,"West Virginia",62
"908",23,"Delaware",56
"909",23,"Michigan",750
"910",23,"New Mexico",0
"911",23,"Hawaii",11
"912",23,"Idaho",22
"913",23,"Indiana",612
"914",23,"Vermont",5
"915",23,"Wisconsin",178
"916",23,"Colorado",356
"917",23,"Minnesota",147
"918",23,"New Hampshire",48
"919",23,"Alaska",2
"920",23,"Montana",0
"921",23,"Rhode Island",384
"922",24,"California",1089
"923",24,"Illinois",1223
"924",24,"New Jersey",4240
"925",24,"New York",11434
"926",24,"Connecticut",1129
"927",24,"Louisiana",581
"928",24,"Ohio",620
"929",24,"Oregon",73
"930",24,"Washington",115
"931",24,"West Virginia",26
"932",24,"Delaware",247
"933",24,"Michigan",1214
"934",24,"New Mexico",113
"935",24,"Hawaii",33
"936",24,"Idaho",46
"937",24,"Indiana",487
"938",24,"Vermont",24
"939",24,"Wisconsin",146
"940",24,"Colorado",683
