"","state","date","confirmed"
"786","Nebraska","2/4/20",0
"787","Nevada","2/4/20",0
"788","New Hampshire","2/4/20",0
"789","New Jersey","2/4/20",0
"790","New Mexico","2/4/20",0
"791","New York","2/4/20",0
"792","North Carolina","2/4/20",0
"793","North Dakota","2/4/20",0
"794","Northern Mariana Islands","2/4/20",0
"795","Ohio","2/4/20",0
"796","Oklahoma","2/4/20",0
"797","Oregon","2/4/20",0
"798","Pennsylvania","2/4/20",0
"799","Puerto Rico","2/4/20",0
"800","Rhode Island","2/4/20",0
"801","South Carolina","2/4/20",0
"802","South Dakota","2/4/20",0
"803","Tennessee","2/4/20",0
"804","Texas","2/4/20",0
"805","Utah","2/4/20",0
"806","Vermont","2/4/20",0
"807","Virgin Islands","2/4/20",0
"808","Virginia","2/4/20",0
"809","Washington","2/4/20",1
"810","West Virginia","2/4/20",0
"811","Wisconsin","2/4/20",0
"812","Wyoming","2/4/20",0
"813","Alabama","2/5/20",0
"814","Alaska","2/5/20",0
"815","American Samoa","2/5/20",0
"816","Arizona","2/5/20",1
"817","Arkansas","2/5/20",0
"818","California","2/5/20",6
"819","Colorado","2/5/20",0
"820","Connecticut","2/5/20",0
"821","Delaware","2/5/20",0
"822","Diamond Princess","2/5/20",0
"823","District of Columbia","2/5/20",0
"824","Florida","2/5/20",0
"825","Georgia","2/5/20",0
"826","Grand Princess","2/5/20",0
"827","Guam","2/5/20",0
"828","Hawaii","2/5/20",0
"829","Idaho","2/5/20",0
"830","Illinois","2/5/20",2
"831","Indiana","2/5/20",0
"832","Iowa","2/5/20",0
"833","Kansas","2/5/20",0
"834","Kentucky","2/5/20",0
"835","Louisiana","2/5/20",0
"836","Maine","2/5/20",0
"837","Maryland","2/5/20",0
"838","Massachusetts","2/5/20",1
